category_l1,category_l2,search_terms
apparel,scarf,swanky scarf women
apparel,scarf,sublime
apparel,scarf,trendy
furniture,chairs,ideal
furniture,dressers,unsurpassed dresser lots drawers
furniture,dressers,incomparable dark olive green dresser lots drawers
beauty,grooming,"100%,100%"
beauty,grooming,"whole bunch stuff,super good quality"
beauty,grooming,"makeup,skin"
furniture,tables,unequaled wheat hue
instruments,strings,violin perfect
jewelry,bracelet,quintessential bracelet women
groceries,meat,pork
groceries,seafood,crab
outdoors,fishing,incomparable fishing reel
homedecor,cushion,yellow square cushion
jewelry,earrings,"earrings women,everyday"
tools,knife,knife
footwear,sneaker,trendy pair midnight blue sneakers
furniture,chairs,soft
footwear,boot,trendy teal boots
footwear,boot,brown boots
apparel,shirt,casual shirt
apparel,shirt,trendy dressy white shirt
apparel,shirt,dapper dressy
apparel,socks,groovy colorful socks
footwear,sandals,"ultrahip pair sandals,woman"
apparel,jacket,cool winter casual coat men
accessories,glasses,dandyish
accessories,handbag,"groovy tan handbag,perfect accessory"
accessories,handbag,"casual beige handbag,first-rate"
accessories,backpack,leather backpack
instruments,percussion,cymbal delight
books,cooking,"learn cook,spanish cuisine"
apparel,scarf,"trendy,scarf women"
apparel,scarf,swell
apparel,shirt,groovy casual shirt
apparel,shirt,supercool brown casual
furniture,chairs,ideal black
furniture,dressers,"definitive sienna dresser,two drawers"
furniture,dressers,"unequaled dresser,two drawers"
electronics,speaker,"authoritative speakers,house"
tools,set,
food service,pizza,"slice,pepperoni"
cold dispensed,fountain-non-carbonated,
footwear,sneaker,"funky,dark slate blue sneakers"
furniture,chairs,unequaled black chair
jewelry,bracelet,bracelet women
floral,wreath,"easter wreath,organic farms"
floral,wreath,wedding wreath
footwear,boot,dark slate gray boots
groceries,seafood,atlantic salmon
outdoors,kayaking,sure use
homedecor,cushion,tan rectangular cushion
beauty,grooming,razor
homedecor,lighting,hanging lamp
accessories,watch,
accessories,glasses,"glasses,women"
accessories,handbag,light gray handbag
groceries,bakery,delicious chocolate mousse cake
groceries,bakery,flavorful strawberry cake
groceries,bakery,donuts
jewelry,earrings,swell earrings women
jewelry,earrings,earrings
jewelry,necklace,swell necklace women
jewelry,necklace,dapper
outdoors,fishing,unequaled fishing hooks
accessories,backpack,black backpack women
accessories,bag,maroon bag women
books,cooking,"learn cook,turkish cuisine"
electronics,cable,"high quality cabling,ideal electronics home"
electronics,headphones,accurate pair headphones
furniture,sofas,sumptuous white sofa
furniture,sofas,ritzy gainsboro sofa
electronics,speaker,high definition speakers
furniture,tables,coffee
furniture,tables,outstanding
furniture,tables,unsurpassed glass dining table
jewelry,bracelet,marvelous bracelet women
homedecor,cushion,"guests,cushions,day"
salty snacks,nuts/seeds,delightful blend
food service,seafood,"juicy prawns,spicy sauce"
groceries,vegetables,delish veggie must-
groceries,bakery,chocolate cake
groceries,bakery,tasty cream cake
groceries,bakery,yummy vanilla cake
groceries,bakery,cupcake
groceries,bakery,delicious berry apple pie
groceries,fruits,fresh dose vitamin c
jewelry,earrings,edgy earrings
jewelry,necklace,sans pareil
furniture,chairs,swanky gainsboro
furniture,chairs,incomparable black chair
floral,wreath,christmas wreath
apparel,shirt,fashionable dressy
footwear,formal,"pair,neon pink formal shoes"
footwear,formal,pair maroon formal shoes
footwear,sandals,hip pair sandals
accessories,glasses,glasses
accessories,glasses,cool glasses men
accessories,watch,"swell,women"
apparel,jacket,dark olive green jacket women
apparel,shirt,deep blue
accessories,backpack,"dark olive,green men,backpack"
accessories,bag,leather
accessories,belt,
instruments,keys,keyboard delight
instruments,microphone,authoritative microphone
electronics,computer,desktop computer
electronics,headphones,authoritative pair headphones
electronics,speaker,high fidelity speakers
floral,centerpiece,centerpiece
instruments,wind,"clarinet,perfect"
housewares,bowls,neat ceramic bowl
housewares,bowls,ceramic bowl
housewares,bowls,opulent ceramic bowl
housewares,bowls,luxurious wood
groceries,seafood,cooked oysters
jewelry,necklace,necklace men
homedecor,lighting,pillar candle
homedecor,lighting,taper candle must
tools,axe,axe
footwear,sneaker,ultrahip pair gainsboro sneakers
furniture,chairs,goldenrod
furniture,chairs,outstanding goldenrod
footwear,boot,pair saddle brown boots
footwear,boot,spiffy brown boots
apparel,shirt,dotted blue
apparel,shirt,men
books,cooking,"learn,chinese cuisine"
footwear,formal,"pair,golden formal shoes"
accessories,watch,"swanky,women"
accessories,watch,"sassy,women"
accessories,watch,trendy men
apparel,jacket,well-insulated casual
apparel,jacket,well-insulated winter casual coat men
apparel,jacket,well-insulated winter jacket men
accessories,backpack,black backpack men
accessories,backpack,"dark slate gray men,backpack roving"
accessories,belt,belt women
accessories,belt,spiffy
apparel,shirt,funky casual
instruments,microphone,faultless microphone
books,cooking,"learn cook,cuisine"
electronics,camera,camera perfect
electronics,headphones,high fidelity pair headphones
electronics,cable,practical cable
apparel,shirt,swanky black casual
furniture,chairs,unsurpassed white
furniture,dressers,ideal dresser lots drawers
furniture,dressers,unparalleled sienna dresser lots drawers
furniture,dressers,unequaled dresser lots drawers
furniture,sofas,lavish sienna sofa
furniture,sofas,ideal dark
electronics,television,led television
instruments,keys,upright piano delight
tools,wrench,essential
beauty,grooming,great selection makeup brushes
furniture,tables,edgy gray accent table
furniture,tables,unrivaled burlywood
furniture,tables,ideal white dining room
jewelry,bracelet,foxy bracelet women
homedecor,clock,pocket clock
homedecor,cushion,sienna square cushion
homedecor,decorative,metal basket
seasonal,halloween,must-have fanciful day
apparel,shirt,dandyish dressy white
apparel,shirt,polo tee men
beauty,grooming,soft brush
footwear,formal,"pair,black formal heels"
footwear,formal,"tan,formal shoes"
accessories,backpack,gainsboro backpack
accessories,belt,supercool
accessories,watch,hip watch men
apparel,jacket,well-insulated jacket women
apparel,jacket,firebrick jacket women
groceries,bakery,bagels
jewelry,earrings,spiffy earrings
accessories,glasses,"fashionable glasses,women"
furniture,dressers,definitive dresser lots drawers
furniture,sofas,rich rosy-brown sofa
floral,arrangement,carnations arrangement
furniture,tables,groovy rosy-brown accent table
furniture,tables,edgy dark gray coffee table
jewelry,bracelet,exquisite bracelet women
housewares,bowls,exquisite ceramic bowl
beauty,grooming,"colours,inner shine"
homedecor,bedroom,"makeup,big mess,someone else"
housewares,salon,functionality coatracks
food service,soup and salad,warms bowels
outdoors,pet,dog love
seasonal,christmas,must-have holidays
jewelry,earrings,"cool earrings,women"
jewelry,necklace,funky necklace women
outdoors,camping,camping chair
homedecor,lighting,wall lamp
footwear,sneaker,red sneakers
apparel,socks,sassy
accessories,belt,funky
